paper_id,title
101-DEMO,EvalSense: A Framework for Domain-Specific LLM (Meta-)Evaluation
124-DEMO,ESG-KG: A Multi-modal Knowledge Graph System for Automated Compliance Assessment
52-DEMO,IntelliCode: A Multi-Agent LLM Tutoring System with Centralized Learner Modeling
63-DEMO,A Browser-based Open Source Assistant for Multimodal Content Verification
69-DEMO,PEFT-Factory: Unified Parameter-Efficient Fine-Tuning of Autoregressive Large Language Models
90-DEMO,Trove: A Flexible Toolkit for Dense Retrieval
99-DEMO,XLM: A Python package for non-autoregressive language models
108-DEMO,RAGVUE: A Diagnostic View for Explainable and Automated Evaluation of Retrieval-Augmented Generation
42-DEMO,DELTA: A Unified Framework for Measuring Linguistic Diversity in Dependency-Parsed Corpora
43-DEMO,CLARIESG: An End-to-End System for ESG Analysis over Complex Tables in Corporate Reports
32-DEMO,PropGenie: A Multi-Agent Conversational Framework for Real Estate Assistance
68-DEMO,BOOM: : Beyond Only One Modality KIT's Multimodal Multilingual Lecture Companion
72-DEMO,AlignFix: A Tool for Parallel Corpora Augmentation and Refinement
79-DEMO,LLM BiasScope: A Real-Time Bias Analysis Platform for Comparative LLM Evaluation
80-DEMO,InkSight: Towards AI-Aided Historical Manuscript Analysis
4-DEMO,DeepPavlov Strikes Back: A Toolkit for Improving LLM Reliability and Trustworthiness
82-DEMO,"promptolution: A Unified, Modular Framework for Prompt Optimization"
85-DEMO,T-pro 2.0: An Efficient Russian Hybrid-Reasoning Model and Playground
86-DEMO,"SDialog: A Python Toolkit for End-to-End Agent Building, User Simulation, Dialog Generation, and Evaluation"
89-DEMO,Agentic AI for Human Resources: LLM-Driven Candidate Assessment
92-DEMO,SciTrue: Evidence-Grounded Claim Verification in Science
34-DEMO,Pro-QuEST: Prompt-chaining Quiz Engine for testing Specialized Technical Product Knowledge
36-DEMO,elfen: A Python Package for Efficient Linguistic Feature Extraction for Natural Language Datasets
46-DEMO,Fact Finder - Enhancing Domain Expertise of Large Language Models by Incorporating Knowledge Graphs
91-DEMO,ClinicalTrialsHub: Bridging Registries and Literature for Comprehensive Clinical Trial Access
93-DEMO,PUCP-Metrix: An Open-source and Comprehensive Toolkit for Linguistic Analysis of Spanish Texts
111-DEMO,QSTN: A Modular Framework for Robust Questionnaire Inference with Large Language Models
122-DEMO,The AI Committee: A Multi-Agent Framework for Automated Validation and Remediation of Web-Sourced Data
3-DEMO,"Stakeholder Suite: A Unified AI Framework for Mapping Actors, Topics and Arguments in Public Debates"
